,,,,,,,,,latlong,Career Impact,Poverty Impact
40.700006,-89.605733,Innovation Center,Innovation Center,Peoria NEXT Innovation Center,http://www.bradley.edu/sites/pnic/,801 West Main Street, Peoria County," Illinois""",40.700006-89.605733,0.163001745,0.383246073
40.0911149,-88.2401544,Innovation Center,Innovation Center,Research Park,www.researchpark.illinois.edu,60 Hazelwood Drive, Champaign County," Illinois""",40.0911149-88.2401544,0.03321729,0.060777488
41.874212,-87.679231,Innovation Center,Innovation Center,Illinois Medical District,http://www.imdc.org/,2100 W Harrison Street, Cook County," Illinois""",41.874212-87.679231,0.118029422,0.461512145
41.8723993,-87.6816138,Innovation Center,Innovation Center,The Chicago Technology Park,http://www.techpark.com/,2201 W. Campbell Park Drive, Cook County," Illinois""",41.8723993-87.6816138,0.0271206,0.150605886
41.8723993,-87.6816138,Innovation Center,Innovation Center,UIC Incubator Laboratory Facility,http://tigger.uic.edu/depts/ovcr/research/techpark/index.html,2201 W. Campbell Park Dr., Cook County," Illinois""",41.8723993-87.6816138,0.0271206,0.150605886
41.8315799,-87.6280206,Innovation Center,Innovation Center,University Technology Park at IIT,http://www.universitytechnologypark.com/,3440 South Dearborn Street, Cook County," Illinois""",41.8315799-87.6280206,0.088970343,0.104298567
37.702926,-89.2157219,Innovation Center,Innovation Center,The Southern Illinois Research Park,http://researchpark.siu.edu/,1740 Innovation Drive, Jackson County," Illinois""",37.702926-89.2157219,0.016064257,0.284032682
38.7907212,-89.9894748,Innovation Center,Innovation Center,University Park,http://www.siue.edu/universitypark/,One North Research Drive, Madison County," Illinois""",38.7907212-89.9894748,0.092595745,0.115914894
40.151523,-88.275935,Innovation Center,Innovation Center,Interstate Research Park,https://plus.google.com/105996443330952680694/about?gl=US&hl=en-US,3001 Research Rd, Champaign County," Illinois""",40.151523-88.275935,0.101085884,0.284106614
40.709278,-89.614915,Innovation Center,Innovation Center,National Center For Agricultural Utilization Research,http://www.ars.usda.gov/Main/docs.htm?docid=3153,1815 N. University Street, Peoria County," Illinois""",40.709278-89.614915,0.232260908,0.403922433
40.709278,-89.614915,Innovation Center,Innovation Center,NCAUR Pilot Plant,http://www.ars.usda.gov/Main/docs.htm?docid=12750,1815 N. University Street, Peoria County," Illinois""",40.709278-89.614915,0.232260908,0.403922433
41.888113,-87.630755,Innovation Center,Innovation Center,Catapult Chicago,http://catapultchicago.com/,321 N. Clark St., Cook County," Illinois""",41.888113-87.630755,0.059844961,0.063875969
42.298881,-89.0695015,Innovation Center,Innovation Center,EIGERlabÎ¾,http://www.eigerlab.org/,605 Fulton Ave., Winnebago County," Illinois""",42.298881-89.0695015,0.171264368,0.034099617
41.8883695,-87.6353645,Innovation Center,Innovation Center,Excelerate Labs,http://www.techstars.com/program/locations/chicago/,222 W. Merchandise Mart Plaza, Cook County," Illinois""",41.8883695-87.6353645,0.02926964,0.047356068
41.8859776,-87.6566872,Innovation Center,Innovation Center,Healthbox,http://healthbox.com/,213 N Racine Ave, Cook County," Illinois""",41.8859776-87.6566872,0.041436464,0.119968429
41.8883695,-87.6353645,Innovation Center,Innovation Center,Impact Engine,http://www.theimpactengine.com/,222 Merchandise Mart Plaza, Cook County," Illinois""",41.8883695-87.6353645,0.02926964,0.047356068
41.8831858,-87.6281451,Innovation Center,Innovation Center,OfficePort Chicago,http://www.officeport.us/,9 W. Washington Street, Cook County," Illinois""",41.8831858-87.6281451,0.055748417,0.165407392
41.962311,-87.674555,Innovation Center,Innovation Center,Platform Coworking,http://www.platformcoworking.com/,4422 N. Ravenswood Ave., Cook County," Illinois""",41.962311-87.674555,0.061126648,0.082301239
41.8827693,-87.6338705,Innovation Center,Innovation Center,Spirtle Space,http://spirtle.com/,40 N Wells St, Cook County," Illinois""",41.8827693-87.6338705,0.055748417,0.165407392
41.8923914,-87.6364606,Innovation Center,Innovation Center,Industrious,http://industriousoffice.com/,320 W Ohio St, Cook County," Illinois""",41.8923914-87.6364606,0.02926964,0.047356068
41.887347,-87.625717,Innovation Center,Innovation Center,PROPEL,http://www.ibiopropel.org/,65 E Wacker Place, Cook County," Illinois""",41.887347-87.625717,0.036187298,0.09698613
40.306963,-88.1557725,Innovation Center,Innovation Center,Rantoul Business Incubator,http://rantoulincubator.org/,601 S. Century Blvd., Champaign County," Illinois""",40.306963-88.1557725,0.269439849,0.279839281
41.8823763,-87.6377481,Innovation Center,Innovation Center,TechNexus,http://www.technexus.com/,20 N. Upper Wacker Dr., Cook County," Illinois""",41.8823763-87.6377481,0.055748417,0.165407392
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Insight Access,http://www.illinoistech.org/page.aspx/collaborationpoint,200 South Wacker, Cook County," Illinois""",41.879211-87.637199,0.055748417,0.165407392
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Growth Networks,http://www.illinoistech.org/roundtable.aspx,200 South Wacker, Cook County," Illinois""",41.879211-87.637199,0.055748417,0.165407392
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Leadership Forums,http://www.illinoistech.org/page.aspx/growforums,200 South Wacker, Cook County," Illinois""",41.879211-87.637199,0.055748417,0.165407392
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Marketplace,http://www.illinoistech.org/page.aspx/marketplace,200 South Wacker, Cook County," Illinois""",41.879211-87.637199,0.055748417,0.165407392
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Newswire,http://www.illinoistech.org/page.aspx/itanewswire,, Cook County," Illinois""",41.879211-87.637199,0.055748417,0.165407392
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Spotlight,http://www.illinoistech.org/page.aspx/spotlight,, Cook County," Illinois""",41.879211-87.637199,0.055748417,0.165407392
41.879211,-87.637199,Innovation Center,Innovation Center,ITA CityLIGHTS Awards,http://www.illinoistech.org/page.aspx/clgala,200 South Wacker, Cook County," Illinois""",41.879211-87.637199,0.055748417,0.165407392
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Fall Challenge,http://www.illinoistech.org/page.aspx/Fall_Challenge,200 South Wacker, Cook County," Illinois""",41.879211-87.637199,0.055748417,0.165407392
41.8956362,-87.6355388,Innovation Center,Innovation Center,The Coop,http://coworkchicago.com/,230 W Superior St, Cook County," Illinois""",41.8956362-87.6355388,0.02926964,0.047356068
40.0911149,-88.2401544,Innovation Center,Innovation Center,EnterpriseWorks Incubator,http://www.researchpark.illinois.edu/enterpriseworks,60 Hazelwood Drive, Champaign County," Illinois""",40.0911149-88.2401544,0.03321729,0.060777488
40.0911149,-88.2401544,Innovation Center,Innovation Center,Women in CU Tech Industry Lunch Forum,http://www.researchpark.illinois.edu/events/cu-women-in-tech,60 Hazelwood Drive, Champaign County," Illinois""",40.0911149-88.2401544,0.03321729,0.060777488
41.8723993,-87.6816138,Innovation Center,Innovation Center,EnterpriseWorks Chicago,http://www.enterpriseworkschicago.com/,2201 West Campbell Park Drive, Cook County," Illinois""",41.8723993-87.6816138,0.0271206,0.150605886
40.9803273,-90.4072559,Innovation Center,Innovation Center,Galesburg Business And Technology Center,http://www.sandburg.edu/content/galesburg-business-and-technology-center,2051 Tom L. Wilson Boulevard, Knox County," Illinois""",40.9803273-90.4072559,0.217909801,0.099306158
42.0469149,-87.6829905,Innovation Center,Innovation Center,Technology Innovation Center,http://www.theincubator.com/home,820 Davis Street, Cook County," Illinois""",42.0469149-87.6829905,0.035991251,0.220123285
41.8838906,-87.6275643,Innovation Center,Innovation Center,Chicago Fashion Incubator,http://www.chicagofashionincubator.org/,111 North State Street, Cook County," Illinois""",41.8838906-87.6275643,0.036187298,0.09698613
40.1035102,-88.2300656,Innovation Center,Innovation Center,Illinois Launch,http://business.illinois.edu/ael/illaunch/index.html,270 Wohlers Hall MC-706, Champaign County," Illinois""",40.1035102-88.2300656,0.03321729,0.060777488
40.5100462,-88.9870335,Innovation Center,Innovation Center,Center for Emerging Entrepreneurs,,100 S Fell Ave, McLean County," Illinois""",40.5100462-88.9870335,0.119978136,0.309510795
37.702532,-89.216838,Innovation Center,Innovation Center,Small Business Incubator Program,http://www.growsi.com/sbip/index.htm,150 E. Pleasant Hill Road, Jackson County," Illinois""",37.702532-89.216838,0.016064257,0.284032682
