lat,long,Category,Source,name,website,address,latlong,Youth Count,Youth Impact,Career Impact,Poverty Impact
41.8848719,-87.6214393,Innovation Center,Innovation Center,Small Business Membership,http://chicagolandchamber.org/wdk_cc/programs_and_advocacy/small_business_membership_new.jsp,Aon Center,41.8848719-87.6214393,97,0.02,0.06,0.17
40.093918,-88.2453098,Innovation Center,Innovation Center,Champaign County Economic Development Corporation,http://www.champaigncountyedc.org,1817 South Neil Street,40.093918-88.2453098,113,0.04,0.01,0.04
40.700006,-89.605733,Innovation Center,Innovation Center,Peoria NEXT Innovation Center,http://www.bradley.edu/sites/pnic/,801 West Main Street,40.700006-89.605733,113,0.04,0.01,0.04
40.0911149,-88.2401544,Innovation Center,Innovation Center,Research Park,www.researchpark.illinois.edu,60 Hazelwood Drive,40.0911149-88.2401544,113,0.04,0.01,0.04
41.874212,-87.679231,Innovation Center,Innovation Center,Illinois Medical District,http://www.imdc.org/,2100 W Harrison Street,41.874212-87.679231,379,0.07,0.15,0.29
41.8723993,-87.6816138,Innovation Center,Innovation Center,The Chicago Technology Park,http://www.techpark.com/,2201 W. Campbell Park Drive,41.8723993-87.6816138,379,0.07,0.15,0.29
41.8723993,-87.6816138,Innovation Center,Innovation Center,UIC Incubator Laboratory Facility,http://tigger.uic.edu/depts/ovcr/research/techpark/index.html,2201 W. Campbell Park Dr.,41.8723993-87.6816138,379,0.07,0.15,0.29
41.8315799,-87.6280206,Innovation Center,Innovation Center,University Technology Park at IIT,http://www.universitytechnologypark.com/,3440 South Dearborn Street,41.8315799-87.6280206,113,0.04,0.01,0.04
37.702926,-89.2157219,Innovation Center,Innovation Center,The Southern Illinois Research Park,http://researchpark.siu.edu/,1740 Innovation Drive,37.702926-89.2157219,#N/A,#N/A,#N/A,#N/A
38.7907212,-89.9894748,Innovation Center,Innovation Center,University Park,http://www.siue.edu/universitypark/,One North Research Drive,38.7907212-89.9894748,#N/A,#N/A,#N/A,#N/A
40.151523,-88.275935,Innovation Center,Innovation Center,Interstate Research Park,https://plus.google.com/105996443330952680694/about?gl=US&hl=en-US,3001 Research Rd,40.151523-88.275935,113,0.04,0.01,0.04
40.709278,-89.614915,Innovation Center,Innovation Center,National Center For Agricultural Utilization Research,http://www.ars.usda.gov/Main/docs.htm?docid=3153,1815 N. University Street,40.709278-89.614915,113,0.04,0.01,0.04
40.709278,-89.614915,Innovation Center,Innovation Center,NCAUR Pilot Plant,http://www.ars.usda.gov/Main/docs.htm?docid=12750,1815 N. University Street,40.709278-89.614915,113,0.04,0.01,0.04
41.888113,-87.630755,Innovation Center,Innovation Center,Catapult Chicago,http://catapultchicago.com/,321 N. Clark St.,41.888113-87.630755,97,0.02,0.06,0.17
42.298881,-89.0695015,Innovation Center,Innovation Center,EIGERlab‘_,http://www.eigerlab.org/,605 Fulton Ave.,42.298881-89.0695015,589,0.09,0.14,0.09
41.8883695,-87.6353645,Innovation Center,Innovation Center,Excelerate Labs,http://www.techstars.com/program/locations/chicago/,222 W. Merchandise Mart Plaza,41.8883695-87.6353645,97,0.02,0.06,0.17
41.8859776,-87.6566872,Innovation Center,Innovation Center,Healthbox,http://healthbox.com/,213 N Racine Ave,41.8859776-87.6566872,97,0.02,0.06,0.17
41.8883695,-87.6353645,Innovation Center,Innovation Center,Impact Engine,http://www.theimpactengine.com/,222 Merchandise Mart Plaza,41.8883695-87.6353645,97,0.02,0.06,0.17
41.8831858,-87.6281451,Innovation Center,Innovation Center,OfficePort Chicago,http://www.officeport.us/,9 W. Washington Street,41.8831858-87.6281451,97,0.02,0.06,0.17
41.962311,-87.674555,Innovation Center,Innovation Center,Platform Coworking,http://www.platformcoworking.com/,4422 N. Ravenswood Ave.,41.962311-87.674555,329,0.19,0.03,0.15
41.8827693,-87.6338705,Innovation Center,Innovation Center,Spirtle Space,http://spirtle.com/,40 N Wells St,41.8827693-87.6338705,97,0.02,0.06,0.17
41.8923914,-87.6364606,Innovation Center,Innovation Center,Industrious,http://industriousoffice.com/,320 W Ohio St,41.8923914-87.6364606,97,0.02,0.06,0.17
41.887347,-87.625717,Innovation Center,Innovation Center,PROPEL,http://www.ibiopropel.org/,65 E Wacker Place,41.887347-87.625717,97,0.02,0.06,0.17
40.306963,-88.1557725,Innovation Center,Innovation Center,Rantoul Business Incubator,http://rantoulincubator.org/,601 S. Century Blvd.,40.306963-88.1557725,113,0.04,0.01,0.04
41.8823763,-87.6377481,Innovation Center,Innovation Center,TechNexus,http://www.technexus.com/,20 N. Upper Wacker Dr.,41.8823763-87.6377481,97,0.02,0.06,0.17
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Insight Access,http://www.illinoistech.org/page.aspx/collaborationpoint,200 South Wacker,41.879211-87.637199,379,0.07,0.15,0.29
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Growth Networks,http://www.illinoistech.org/roundtable.aspx,200 South Wacker,41.879211-87.637199,379,0.07,0.15,0.29
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Leadership Forums,http://www.illinoistech.org/page.aspx/growforums,200 South Wacker,41.879211-87.637199,379,0.07,0.15,0.29
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Marketplace,http://www.illinoistech.org/page.aspx/marketplace,200 South Wacker,41.879211-87.637199,379,0.07,0.15,0.29
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Newswire,http://www.illinoistech.org/page.aspx/itanewswire,,41.879211-87.637199,379,0.07,0.15,0.29
41.879211,-87.637199,Innovation Center,Innovation Center,ITA Spotlight,http://www.illinoistech.org/page.aspx/spotlight,,41.879211-87.637199,379,0.07,0.15,0.29
