,lat,long,category,source
58636,41.873007,-87.812838,park,Google
58659,41.869763,-87.816058,school,Google
58664,41.845801,-87.711578,school,Google
58673,41.864882,-87.811532,school,Google
58712,41.8569911,-87.8279577,park,Google
58713,41.865538,-87.828725,hospital,Google
58726,42.013603,-87.8350207,park,Google
58729,42.014474,-87.835341,school,Google
58772,42.011414,-87.82844399999998,school,Google
58801,42.010033,-87.827995,cafe,Google
58809,42.010216,-87.82818499999998,hospital,Google
58834,42.010539,-87.829688,cafe,Google
58849,42.010675,-87.830839,library,Google
58889,42.013407,-87.835324,park,Google
58943,42.0091251,-87.8354813,park,Google
58975,42.014685,-87.838863,park,Google
58990,42.01802,-87.842016,library,Google
59060,42.00830300000001,-87.830676,local_government_office,Google
59061,42.00830300000001,-87.830676,local_government_office,Google
59063,42.00830300000001,-87.830676,local_government_office,Google
59065,42.00830300000001,-87.830676,local_government_office,Google
59066,42.008304,-87.830674,local_government_office,Google
59067,42.00830300000001,-87.830676,local_government_office,Google
59068,42.00830300000001,-87.830676,local_government_office,Google
59070,42.00830300000001,-87.830676,local_government_office,Google
59071,42.008729,-87.8308752,park,Google
59073,42.008844,-87.83086,park,Google
59079,42.007607,-87.83066,local_government_office,Google
59089,42.008583,-87.832545,school,Google
59096,42.009253,-87.83544,park,Google
59102,42.003651,-87.82941600000002,park,Google
59104,41.999523,-87.834264,school,Google
59107,42.007374,-87.840838,school,Google
59113,42.00768400000001,-87.843017,school,Google
59115,42.007808,-87.843953,library,Google
59146,42.017925,-87.852254,school,Google
59152,42.01503,-87.85061999999998,school,Google
59154,42.015314,-87.850272,school,Google
59159,42.0091862,-87.8469946,park,Google
59160,42.010699,-87.845783,park,Google
59161,42.008935,-87.846796,park,Google
59172,42.0159071,-87.85896540000002,park,Google
59178,42.017453,-87.86145,park,Google
59179,42.017453,-87.86145,park,Google
59180,42.017453,-87.86145,park,Google
59182,42.017453,-87.86145,school,Google
59184,42.016027,-87.859142,park,Google
59185,42.016221,-87.859941,park,Google
59186,42.017252,-87.86062,school,Google
59187,42.0125891,-87.8635686,park,Google
59195,42.0076382,-87.8635686,park,Google
59196,42.0025956,-87.85865849999998,park,Google
59200,42.00722800000001,-87.845701,school,Google
59201,42.006141,-87.846175,school,Google
59215,42.001705,-87.852519,school,Google
59224,42.001857,-87.858921,park,Google
59268,41.9975229,-87.8356349,park,Google
59272,41.997367,-87.835474,park,Google
59352,41.995896,-87.836821,local_government_office,Google
59365,41.992527,-87.837024,school,Google
59366,41.992244,-87.838008,school,Google
59367,41.993364,-87.837563,school,Google
59370,41.991339,-87.85252,park,Google
59372,41.990465,-87.844443,park,Google
59393,41.989287,-87.835287,park,Google
59394,41.989274,-87.835307,park,Google
59440,41.9894637,-87.8350207,park,Google
59457,41.986763,-87.839191,university,Google
59478,41.9902555,-87.84423170000002,park,Google
59525,41.981862,-87.84050699999997,university,Google
59526,41.981862,-87.84050699999997,school,Google
59528,41.981862,-87.84050699999997,university,Google
59547,41.982668,-87.844791,university,Google
59560,41.980998,-87.842361,university,Google
59566,41.980518,-87.842732,local_government_office,Google
59579,41.992527,-87.852941,park,Google
59580,41.99713300000001,-87.855441,school,Google
59581,41.997453,-87.855398,school,Google
59585,41.994769,-87.861478,hospital,Google
59625,41.976479,-87.85252,park,Google
59664,42.013605,-87.864458,park,Google
59666,42.011429,-87.864886,park,Google
59693,42.010293,-87.87187,school,Google
59699,42.012881,-87.877778,park,Google
59700,42.010585,-87.878676,school,Google
59704,42.009883,-87.876899,school,Google
59715,42.005224,-87.863577,park,Google
59755,41.9982658,-87.8755349,park,Google
59758,42.008823,-87.879502,local_government_office,Google
59764,42.003641,-87.879232,school,Google
59769,41.998279,-87.875695,park,Google
59778,42.017595,-87.885768,park,Google
59810,42.014909,-87.890017,park,Google
59812,42.0132213,-87.8979248,park,Google
59823,42.010843,-87.890171,university,Google
59825,42.01287,-87.89681800000002,park,Google
59827,42.004966,-87.88423399999998,cafe,Google
59877,42.007012,-87.892324,local_government_office,Google
59913,41.995722,-87.86796600000002,local_government_office,Google
59923,41.995748,-87.869017,school,Google
59931,41.995308,-87.868953,school,Google
59942,41.992966,-87.863095,cafe,Google
60016,41.989752,-87.87034200000002,school,Google
60020,41.995638,-87.870747,local_government_office,Google
60026,41.996373,-87.877629,local_government_office,Google
60031,41.994569,-87.871123,school,Google
60036,41.990223,-87.877404,park,Google
60050,41.980409,-87.86548499999998,local_government_office,Google
60074,41.995637,-87.88180600000003,library,Google
60093,41.994936,-87.88766700000002,local_government_office,Google
60094,41.994949,-87.887665,local_government_office,Google
60157,41.9788495,-87.83855179999998,park,Google
60163,41.978781,-87.838628,park,Google
60183,41.979302,-87.84174200000002,local_government_office,Google
60187,41.979273,-87.843255,school,Google
60200,41.974475,-87.83811800000002,school,Google
60219,41.973086,-87.841729,school,Google
60230,41.966644,-87.83129100000002,school,Google
60231,41.96530900000001,-87.831451,school,Google
60433,41.974454,-87.85377700000002,park,Google
60435,41.979855,-87.86219,library,Google
60441,41.9592225,-87.84665820000002,park,Google
60442,41.9565677,-87.84760859999999,park,Google
60446,41.969108,-87.861877,cafe,Google
60450,41.96913,-87.861878,school,Google
60470,41.95970300000001,-87.83456600000002,cafe,Google
60501,41.9466551,-87.84760859999999,park,Google
60503,41.948086,-87.830062,school,Google
60512,41.944475,-87.82895,school,Google
60528,41.945234,-87.84543000000002,park,Google
60529,41.958737,-87.849179,park,Google
60557,41.955573,-87.860809,library,Google
60565,41.953727,-87.85924200000002,school,Google
60591,41.94502,-87.855109,library,Google
60621,41.978643,-87.863892,local_government_office,Google
60645,41.975084,-87.86274499999998,school,Google
60692,41.967061,-87.868441,school,Google
60707,41.961053,-87.870483,school,Google
60708,41.965553,-87.87338299999998,cafe,Google
60800,41.956351,-87.863299,school,Google
60831,41.955054,-87.867584,park,Google
60833,41.955418,-87.86805600000002,local_government_office,Google
60837,41.955418,-87.86805600000002,local_government_office,Google
60839,41.955043,-87.867774,school,Google
60849,41.954475,-87.86923,school,Google
60852,41.954279,-87.869692,school,Google
60866,41.951286,-87.86986999999998,school,Google
60867,41.95128,-87.870118,school,Google
60871,41.9507,-87.863404,school,Google
60919,41.945704,-87.868314,park,Google
60922,41.941616,-87.866625,school,Google
60930,41.95003,-87.877563,school,Google
60933,41.94772,-87.877271,school,Google
60939,41.947808,-87.877285,school,Google
60946,41.943916,-87.876989,park,Google
61059,42.013221,-87.897925,park,Google
61117,42.017173,-87.922028,cafe,Google
61162,42.007426,-87.915922,local_government_office,Google
61178,41.980826,-87.898186,school,Google
61193,41.980804,-87.909774,cafe,Google
61199,42.018272,-87.935147,park,Google
61227,42.009625,-87.947744,school,Google
61348,42.018229,-87.954385,local_government_office,Google
61453,42.012283,-87.960246,cafe,Google
61516,42.003599,-87.953998,school,Google
61686,41.9932,-87.948649,school,Google
61722,41.996276,-87.960494,park,Google
61728,41.99806,-87.96254300000003,school,Google
61828,41.984464,-87.960463,university,Google
61841,41.977322,-87.898586,cafe,Google
61857,41.975891,-87.902617,cafe,Google
61945,41.976885,-87.910669,cafe,Google
61949,41.975187,-87.90633199999998,hospital,Google
62046,41.949197,-87.922843,school,Google
62047,41.9443998,-87.927352,park,Google
62071,41.943925,-87.927351,park,Google
62077,41.971672,-87.94015999999998,local_government_office,Google
62201,41.976378,-87.95089399999998,cafe,Google
62228,41.971889,-87.949853,hospital,Google
62230,41.972004,-87.94926,local_government_office,Google
62303,41.973725,-87.957493,university,Google
62349,41.966085,-87.95304,cafe,Google
62369,41.964531,-87.953118,school,Google
62370,41.965307,-87.954789,school,Google
62417,41.953879,-87.934999,school,Google
62430,41.954752,-87.937566,school,Google
62461,41.956326,-87.941172,local_government_office,Google
62476,41.95854600000001,-87.94484200000002,local_government_office,Google
62484,41.9593487,-87.94910340000001,park,Google
62521,41.9534954,-87.9422115,park,Google
62526,41.953535,-87.942166,park,Google
62533,41.9545176,-87.9474188,park,Google
62534,41.954518,-87.947419,park,Google
62536,41.9512295,-87.94542790000001,park,Google
62539,41.951279,-87.945368,park,Google
62543,41.9500974,-87.934093,park,Google
62544,41.949745,-87.93393,park,Google
62562,41.945388,-87.934136,school,Google
62579,41.949752,-87.94312099999998,school,Google
62580,41.949361,-87.93969,school,Google
62608,41.959598,-87.94919499999997,local_government_office,Google
62609,41.959466,-87.949086,park,Google
62622,41.956227,-87.956539,school,Google
